Address_ID,Timestamp,Do.you.agree.to.participate.in.this.study.,X2..GPS.Coordinates.of.the.Shop,X3..Market.Name,X4...Group.,X5..Section,X6..Line,X7..Block.Number,X8..Shop.Number..Visible.Tag.,X9..Shop.Number..Count.,X10..Shop.Level,X11..Shop.Occupancy.Status,X12..Locked.Up.Status,X13..Shop.Type,X15..Position.in.Shop,X17..How.many.people.work.in.your.shop.each.day.,X18..Shop.Opening.Time,X19..Shop.Closing.Time,X20..Does.the.shop.owner.have.a.bank.account.,X21..Name.of.Bank.1,X22..Name.of.Bank.2,X23..Does.the.shop.owner.Have..a.smart.phone.,X24..Which.payment.platform.have.you.used.,X25..If.you.could.save.money.on.Electricity.would.you.be.willing.to.use.some.on.the.savings.to.fund.value.added.services.such.as.pensions..Healthcare.or.Educational.savings.plans,X26...What.would.be.your.First.Choice.for.value.added.Services,X27..What.would.be.the.second.choice.for.value.added.services,X28..What.would.be.the.Third.choice.for.value.added.services,X29..Is.There.Electricity.Supply.In.The.Shop.,X30..Do.You.Need.More.Hours.of.Electricity.In.This.Shop.,X31..Is.there.a.supply.of.electricity.for.this.shop.from.the.grid.utility..local.discos.NEPA.PHCN..connected.directly.to.this.shop..not.a.shared.connection.from.outside..,X32..How.frequent.do.you.pay.for.this.electricity,X33..How.Much.Do.you.Pay.for.grid.utility.service...local.disco.NEPA.PHCN.etc...during.the.payment.period.you.mentioned.before.,X34..Total.hours.of.power.interruption.from.the.grid.in.a.week.,X35..Is.there.a.supply.of.electricity.from.a..merger..generators.,X36..How.frequently.do.you.pay.for.this.electricity.supply..merger.,X37..How.Much.Do.You.Pay.For.electricity.from.the.merger.Generator..during.the.payment.period.you.mentioned.before.,X47..Total.amount.of.money.spent.on.fuel.for.all.generators..during.the.payment.period.you.mentioned.before.,X48..How.long.do.you.typically.run.the.generator.daily..in.hours..,X49..On.the.most.recent.workday..how.many.hours.of.generator.power.did.this.shop.use.,X51..What.price.do.you.typically.pay.for.fuel..Naira...liter..,X64..Which.appliance.is.the.most.important.for.your.business.to.function.properly,X65..Which.appliance.is.the.Second.most.important.for.your.business.to.function.properly,X66..Which.appliance.is.the.Third.most.important.for.your.business.to.function.properly,Latitude,Longitude
KTS--SEC(SECTION A)--LIN(LINE 1)--BL(BLOCK 25)--SNUM(1450)--SLEV(0),2022-05-21 11:48:25,Accept,"12.9xxxx6, 7.60xxxx",Katsina Central Market,Closed Shop,SECTION A,LINE 1,BLOCK 25,1450,14.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1 to 2,7:00 AM,7:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,TRUE,Education,Healthcare,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,12.9,7.6
SBG--SEC(SECTION D)--LIN(LINE 1)--BL(A)--SNUM(4672)--SLEV(0),2022-06-06 13:30:00,Accept,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Open Stall,SECTION D,LINE 1,A,4672,20.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Drugs/Pharmaceutical,Owner,3,8:00 AM,7:00 PM,TRUE,Stanbic IBTC Bank Ltd.,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,True,True,True,Monthly,1500.0,80.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.1,7.72
KRM--SEC(SECTION C)--LIN(LINE 2)--BL(BLOCK 51)--SNUM(3616)--SLEV(GROUND FLOOR),2022-05-19 14:28:25,Accept,"12.0xxxx8, 8.51xxxx",Kurmi Market / Kurumi Market,Closed Shop,SECTION C,LINE 2,BLOCK 51,3616,21.0,GROUND FLOOR,UNDER CONSTRUCTION,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,12.0,8.51
PTK--SEC(SECTION B)--LIN(LINE 2)--BL(BLOCK BA)--SNUM(BA2647)--SLEV(0),2022-06-11 14:10:00,Accept,"10.5xxxx3, 7.41xxxx",Panteka Market,Closed Shop,SECTION B,LINE 2,BLOCK BA,BA2647,31.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.5,7.41
Margaret--SEC(A)--LIN(4)--BL(2)--SNUM(2093)--SLEV(0),2022-04-07 12:27:00,Accept,"6.31xxxx, 8.12xxxx",Margaret Umahi Market,Open Stall,SECTION A,4,2,2093,124.0,GROUND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.31,8.12
OKJ--SEC(SECTION B)--LIN(LINE 1)--BL(9)--SNUM(264)--SLEV(0),2022-05-17 11:53:21,Accept,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Closed Shop,SECTION B,LINE 1,9,264,18.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.81,3.93
FYS--SEC(SECTION A)--LIN(LINE 1)--BL(9)--SNUM(120)--SLEV(0),2022-03-22 17:00:12,Accept,"7.61xxxx, 5.22xxxx",Fayose Market,Closed Shop,SECTION A,LINE 1,9,120,14.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,General household Goods,Owner,3 to 5,8:00 AM,7:00 PM,TRUE,FIRST BANK NIGERIA LIMITED,FIRST BANK NIGERIA LIMITED,True,"Quickteller , OTHERS",TRUE,Savings Account,"Insurance (Health, Auto, Building or Contents)",Savings Account,True,True,True,Monthly,1000.0,72.0,False,Daily,300.0,1260.0,6.0,6.0,210.0,Electrical Workshop Tools(Eg Soldering Iron etc),Light Bulbs,Fan,7.61,5.22
IGD--SEC(E)--LIN(16)--BL(5)--SNUM(2424)--SLEV(0),2022-05-12 16:08:00,Accept,"5.52xxxx, 5.76xxxx",Igbudu Market,Closed Shop,SECTION E,16,5,2424,26.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.52,5.76
OKJ--SEC(SECTION G)--LIN(LINE 2)--BL(10)--SNUM(3171)--SLEV(0),2022-05-19 12:21:49,Accept,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Open Stall,SECTION G,LINE 2,10,3171,1.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1 to 2,8:00 AM,7:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,None,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.81,3.93
MDA--SEC(SECTION D)--LIN(LINE 1)--BL(BLOCK AAAE)--SNUM(3164)--SLEV(0),2022-05-12 11:57:00,Accept,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION D,LINE 1,BLOCK AAAE,3164,5.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.3,9.84
SBG--SEC(SECTION E)--LIN(LINE 2)--BL(BB)--SNUM(7333)--SLEV(0),2022-06-03 10:58:00,Accept,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Closed Shop,SECTION E,LINE 2,BB,7333,4.0,GROUND FLOOR,UNDER CONSTRUCTION,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.1,7.72
JMT--SEC(D)--LIN(2)--BL(8)-SNUM(3436)--SLEV(0),2023-06-24 18:53:37,Accept,"9.27xxxx, 12.4xxxx2",Jimeta Central / Modern Market,Open Stall,SECTION D,2,8,3436,21.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,03-May,10:00 AM,6:00 PM,TRUE,Fidelity Bank Plc,FIRST BANK NIGERIA LIMITED,False,"Quickteller , Remitta",FALSE,Healthcare,Education,Savings Account,True,False,False,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Air Conditioner  (A/C ),Refrigerator,Charging Points,9.27,12.4
IGD--SEC(E)--LIN(17)--BL(3)--SNUM(2464)--SLEV(0),2022-05-12 15:58:00,Accept,"5.52xxxx, 5.76xxxx",Igbudu Market,Closed Shop,SECTION E,17,3,2464,24.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.52,5.76
OGG--SEC(A)--LIN(3)--BL(4)--SNUM(279)--SLEV(0),2022-05-31 11:11:20,Accept,"6.83xxxx, 7.41xxxx",Ogige Market,Closed Shop,SECTION A,3,4,279,3.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,FROZEN FOODS,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Citibank Nigeria Limited,Access Bank Plc,True,"Quickteller , OTHERS",TRUE,Savings Account,Education,Healthcare,True,False,False,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Deep freezers,Charging Points,Fan,6.83,7.41
Aria--SEC(C)--LIN(1)--BL(2)--SNUM(4228)--SLEV(0),2022-04-13 10:16:17,Accept,"6.45xxxx, 7.48xxxx",Aria New Market,Closed Shop,SECTION C,1,2,4228,20.0,GROUND FLOOR,WAREHOUSE,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.45,7.48
Onitsha--SEC(A)--LIN(14)--BL(7)--SNUM(5617)--SLEV(SECOND FLOOR),2022-05-26 17:20:07,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION A,14,7,5617,236.0,SECOND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
Onitsha--SEC(B)--LIN(9)--BL(4)--SNUM(13125)--SLEV(FIRST FLOOR),2022-04-05 14:04:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION B,9,4,13125,102.0,FIRST FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
KRM--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK 74)--SNUM(5096)--SLEV(0),2023-07-26 10:11:00,Accept,"12.0xxxx8, 8.51xxxx",Kurmi Market / Kurumi Market,Closed Shop,SECTION D,LINE 2,BLOCK 74,5096,21.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,01-Feb,8:00 AM,6:00 PM,TRUE,FIRST BANK NIGERIA LIMITED,Key Stone Bank,True,"PAGA , OTHERS",FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,12.0,8.51
Aria--SEC(C)--LIN(1)--BL(2)--SNUM(3740)--SLEV(0),2022-04-09 12:15:00,Accept,"6.45xxxx, 7.48xxxx",Aria New Market,Closed Shop,SECTION C,1,2,3740,25.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.45,7.48
Aba-Ekeoha--SEC(A)--LIN(1)--BL(1)--SNUM(21)--SLEV(0),2022-03-15 11:51:08,Accept,"5.10xxxx, 7.36xxxx",Aba Ekeoha Shopping Center,Open Stall,SECTION A,1,1,21,22.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,5:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,None,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.1,7.36
WTI--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK AX)--SNUM(2341)--SLEV(0),2022-05-11 13:29:00,Accept,"10.3xxxx5, 9.84xxxx",Wunti Market,Closed Shop,SECTION D,LINE 2,BLOCK AX,2341,16.0,GROUND FLOOR,WAREHOUSE,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.3,9.84
IEM--SEC(C)--LIN(1)--BL(2)--SNUM(780)--SLEV(0),2022-03-31 12:34:59,Accept,"6.12xxxx, 6.77xxxx",International Electronics Market,Closed Shop,SECTION C,1,2,780,34.0,GROUND FLOOR,WAREHOUSE,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.12,6.77
ABG--SEC(SECTION BB)--LIN(LINE 2)--BL(BLOCK BB32)--SNUM(BB1872)--SLEV(0),2022-06-03 10:46:00,Accept,"10.5xxxx3, 7.42xxxx",Abubakar Gumi Central Market,Open Stall,SECTION BB,LINE 2,BLOCK BB32,BB1872,10.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.5,7.42
JMT--SEC(B)--LIN(1)--BL(59)-SNUM(1168)--SLEV(0),2022-04-13 13:20:28,Accept,"9.27xxxx, 12.4xxxx2",Jimeta Central / Modern Market,Closed Shop,SECTION B,1,59,1168,7.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1 to 2,9:00 AM,6:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,Quickteller,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,9.27,12.4
KTO--SEC(SECTION C)--BL(BLOCK F)--LIN(LINE 6)--SNUM(975)--SLEV(0),2023-06-09 11:32:00,Accept,"7.13xxxx, 3.35xxxx","Kuto Market, Abeokuta.",Closed Shop,SECTION C,LINE 6,BLOCK F,975,21.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,COLD DRINKS SELLER,Owner,01-Feb,7:00 AM,6:00 PM,TRUE,Guaranty Trust Bank Plc,Guaranty Trust Bank Plc,False,PAGA,TRUE,Healthcare,Savings Account,Education,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,7.13,3.35
Babban-Kasuwa--SEC(SECTION A)--LIN(LINE 2)--BL(BLOCK E)--SNUM(495)--SLEV(0),2022-04-13 11:47:00,Accept,"10.2xxxx2, 11.1xxxx6",Babban Kasuwa,Closed Shop,SECTION A,LINE 2,BLOCK E,495,11.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1 to 2,10:00 AM,5:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.2,11.1
KTS--SEC(SECTION A)--LIN(LINE 2)--BL(BLOCK 18)--SNUM(1056)--SLEV(0),2022-05-20 11:12:50,Accept,"12.9xxxx6, 7.60xxxx",Katsina Central Market,Closed Shop,SECTION A,LINE 2,BLOCK 18,1056,11.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Textile,Owner,1 to 2,8:00 AM,6:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,True,True,True,Monthly,700.0,5.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Fan,Light Bulbs,Charging Points,12.9,7.6
AkpaAndem--SEC(A)--LIN(4)--BL(8)--SNUM(4125)--SLEV(0),2022-03-30 16:29:47,Accept,"5.01xxxx, 7.92xxxx",Akpan Andem Market,Open Stall,SECTION A,4,8,4125,352.0,GROUND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.01,7.92
ABG--SEC(SECTION BB)--LIN(LINE 2)--BL(BLOCK BB36)--SNUM(BB2114)--SLEV(0),2022-06-04 12:19:00,Accept,"10.5xxxx3, 7.42xxxx",Abubakar Gumi Central Market,Closed Shop,SECTION BB,LINE 2,BLOCK BB36,BB2114,9.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,1,9:00 AM,6:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,"Quickteller , Remitta , PAGA",FALSE,Healthcare,Education,Savings Account,True,True,True,Yearly,20000.0,6.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.5,7.42
RDL--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK D)--SNUM(D566)--SLEV(2),2022-06-12 13:26:00,Accept,"10.5xxxx5, 7.42xxxx",Rice Dealers Gunmi Mkt,Open Stall,SECTION D,LINE 2,BLOCK D,D566,38.0,SECOND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.5,7.42
Margaret--SEC(B)--LIN(4)--BL(5)--SNUM(2974)--SLEV(0),2022-04-11 10:31:00,Accept,"6.31xxxx, 8.12xxxx",Margaret Umahi Market,Open Stall,SECTION B,4,5,2974,38.0,GROUND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.31,8.12
Onitsha--SEC(A)--LIN(14)--BL(1)--SNUM(4150)--SLEV(GROUND FLOOR),2022-04-06 16:31:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Closed Shop,SECTION A,14,1,4150,80.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
Marine--SNUM(266),2023-10-26 16:38:51,Accept,"6.15xxxx, 6.77xxxx",Marine Modern Market,Closed Shop,SECTION A,LINE 1,1,266,21.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Cosmetics, Salon and hairdressing",Sales Boy/Girl,01-Feb,9:00 AM,4:00 PM,TRUE,Enterprise Bank,FIRST BANK NIGERIA LIMITED,True,Quickteller,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.15,6.77
RKB--SEC(SECTION C)--LIN(LINE 2)--BL(28)--SNUM(2402)--SLEV(0),2023-06-21 12:20:37,Accept,"9.92xxxx, 8.86xxxx",Rukkuba Market (Rukuba Road Satellite Market),Closed Shop,SECTION C,LINE 2,28,2402,21.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,9.92,8.86
SBG--SEC(SECTION B)--LIN(LINE 2)--BL(B51)--SNUM(2538)--SLEV(0),2022-06-01 12:04:00,Accept,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Closed Shop,SECTION B,LINE 2,B51,2538,2.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Textile,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.1,7.72
FTU--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK AS)--SNUM(2750)--SLEV(0),2022-09-19 14:44:27,Accept,"11.5xxxx2, 7.33xxxx",Funtua Central Market,Open Stall,SECTION D,LINE 2,BLOCK AS,2750,3.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1,9:00 AM,7:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,PAGA,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.5,7.33
OTK--SEC(D)--BL(6)--LIN(1)--SNUM(3015)--SLEV(0),2022-03-29 11:15:10,Accept,"7.19xxxx, 8.13xxxx",Otukpo Main Market,Closed Shop,SECTION D,6,1,3015,2.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,7.19,8.13
FTU--SEC(SECTION B)--LIN(LINE 1)--BL(BLOCK Y)--SNUM(1446)--SLEV(0),2023-04-12 11:54:00,Accept,"11.5xxxx2, 7.33xxxx",Funtua Central Market,Closed Shop,SECTION B,LINE 1,BLOCK Y,1446,21.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,01-Feb,8:00 AM,6:00 PM,TRUE,Unity Bank Plc,Diamond Bank Plc,True,"PAGA , OTHERS",TRUE,Healthcare,Education,Microloans,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.5,7.33
Aria--SEC(B)--LIN(1)--BL(1)--SNUM(2443)--SLEV(0),2022-04-06 14:15:00,Accept,"6.45xxxx, 7.48xxxx",Aria New Market,Closed Shop,SECTION B,1,1,2443,5.0,GROUND FLOOR,UNDER CONSTRUCTION,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.45,7.48
